Split,Column,Value,Count,Percent
PASSION_split,country,Guinea,384,23.23
PASSION_split,country,Madagascar,985,59.59
PASSION_split,country,Malawi,261,15.79
PASSION_split,country,Tanzania,23,1.39
PASSION_split,sex,f,691,41.8
PASSION_split,sex,m,962,58.2
PASSION_split,fitzpatrick,1,1,0.06
PASSION_split,fitzpatrick,3,354,21.42
PASSION_split,fitzpatrick,4,486,29.4
PASSION_split,fitzpatrick,5,428,25.89
PASSION_split,fitzpatrick,6,384,23.23
PASSION_split,impetig,0.0,1462,88.45
PASSION_split,impetig,1.0,191,11.55
PASSION_split,conditions_PASSION,Eczema,414,25.05
PASSION_split,conditions_PASSION,Fungal,579,35.03
PASSION_split,conditions_PASSION,Others,189,11.43
PASSION_split,conditions_PASSION,Scabies,471,28.49
PASSION_split,ageGroup,00-04,354,21.42
PASSION_split,ageGroup,05-09,314,19.0
PASSION_split,ageGroup,10-14,132,7.99
PASSION_split,ageGroup,15-19,65,3.93
PASSION_split,ageGroup,20-24,126,7.62
PASSION_split,ageGroup,25-29,189,11.43
PASSION_split,ageGroup,30-34,150,9.07
PASSION_split,ageGroup,35-39,97,5.87
PASSION_split,ageGroup,40-44,76,4.6
PASSION_split,ageGroup,45-49,50,3.02
PASSION_split,ageGroup,50-54,44,2.66
PASSION_split,ageGroup,55-59,30,1.81
PASSION_split,ageGroup,60-64,15,0.91
PASSION_split,ageGroup,65-69,6,0.36
PASSION_split,ageGroup,70-74,3,0.18
PASSION_split,ageGroup,75-79,1,0.06
PASSION_split,ageGroup,80-84,0,0.0
PASSION_split,ageGroup,85-89,0,0.0
PASSION_split,ageGroup,90-94,0,0.0
PASSION_split,ageGroup,95-99,1,0.06
PASSION_split,Split,TEST,330,19.96
PASSION_split,Split,TRAIN,1323,80.04
